d_vendor_name,d_fiscal_year,total
IRON MOUNTAIN CANADA OPERATIONS,2017-2018,28220.500000000004
IRON MOUNTAIN CANADA OPERATIONS,2019-2020,34500
IRON MOUNTAIN CANADA OPERATIONS,2020-2021,37366.880000000005
JAM3,2017-2018,273195
JAM3,2020-2021,95665.5
JUNGLE MEDIA,2019-2020,86231.25
JUNGLE MEDIA,2020-2021,49439.25
KANVA ARCHITECTURE,2019-2020,166713.75
L ENVOL DES LANGUES,2017-2018,11744.38
L ENVOL DES LANGUES,2018-2019,32193
L ENVOL DES LANGUES,2019-2020,32193
L ENVOL DES LANGUES,2020-2021,20695.5
LA CAMARADERIE,2019-2020,7194.1506493506495
LA CAMARADERIE,2020-2021,65646.62467532468
LEE HECHT HARRISON KNIGHTSBRIDGE,2019-2020,49439.259999999995
LEE HECHT HARRISON KNIGHTSBRIDGE,2020-2021,54082.06303030303
LES INDUSTRIES NORDESCO,2019-2020,83235.53
LES PRODUCTIONS ROMEO ET FILS,2017-2018,45770
LES PRODUCTIONS ROMEO ET FILS,2018-2019,43194.96
LES SOLUTIONS SPACESAVER,2020-2021,129827.96999999999
MAXSYS GSI CONSULTING,2018-2019,59687.02173913043
MAXSYS GSI CONSULTING,2019-2020,36891.97826086956
MEDIALOGIQ SYSTEMS,2019-2020,68334.57045138889
MEDIALOGIQ SYSTEMS,2020-2021,1604.5587999480097
MICROSOFT CANADA,2018-2019,134486.8
MICROSOFT CANADA,2019-2020,7859.145933147632
MICROSOFT CANADA,2020-2021,146737.9282794854
MINDSTREAM TC PCB,2017-2018,59138.61386138614
MINDSTREAM TC PCB,2018-2019,176451.68613861388
MONIQUE LEBLANC CREATIONS,2017-2018,36876.666666666664
MONIQUE LEBLANC CREATIONS,2018-2019,26393.333333333332
"NATURALPOINT",2017-2018,28140.309999999994
"NATURALPOINT",2020-2021,48727.450000000004
NOOTKA STREET FILM COMPANY,2018-2019,29219.6
NOOTKA STREET FILM COMPANY,2019-2020,33596.160703124995
NOOTKA STREET FILM COMPANY,2020-2021,35855.55162760416
NORTH PLAINS SYSTEMS,2017-2018,80000
NORTH PLAINS SYSTEMS,2018-2019,160000
NORTH PLAINS SYSTEMS,2019-2020,93911.62000000001
NORTHERN MICRO,2019-2020,114147.15999999999
NORTHERN MICRO,2020-2021,545334.3998333333
OPUS 59 FILMS,2017-2018,79559.8
ORACLE CANADA,2017-2018,57262.04432876712
ORACLE CANADA,2018-2019,71726.0695818474
ORACLE CANADA,2019-2020,170544.31304176644
ORACLE CANADA,2020-2021,58170.44174891775
PARADIS RENAUD,2017-2018,15007.824726134586
PARADIS RENAUD,2018-2019,77479.67527386542
PARADIS RENAUD,2019-2020,46055.12619926199
PARADIS RENAUD,2020-2021,99072.07380073801
PING PONG PING,2018-2019,28423.272887139112
PING PONG PING,2019-2020,36422.637112860895
PING PONG PING,2020-2021,11249.72441860465
QUADBRIDGE,2020-2021,66257.51
RESONANCE TJL,2017-2018,41160
RESONANCE TJL,2019-2020,115549.88
RETHINK COMMUNICATIONS,2017-2018,25000
RETHINK COMMUNICATIONS,2018-2019,29402.23951445305
RETHINK COMMUNICATIONS,2019-2020,32836.51048554695
RETHINK COMMUNICATIONS,2020-2021,24145.34
RICHTER S E N C R L,2017-2018,72750
RICHTER S E N C R L,2019-2020,21270.38
RISQ,2017-2018,59576
RISQ,2018-2019,31946.95
RISQ,2019-2020,43586.55977777778
RISQ,2020-2021,38795.76855555556
ROHDE SCHWARZ CANADA,2017-2018,273097.1706849315
ROHDE SCHWARZ CANADA,2018-2019,336607.36941176467
ROHDE SCHWARZ CANADA,2019-2020,22859.730588235292
ROHDE SCHWARZ CANADA,2020-2021,120171.66181818182
SECURMAX SYSTEMES INTEGRES DE SECU,2019-2020,66697.90999999999
SERVICES DE GESTION M G,2019-2020,61109.22
SERVICES DE GESTION M G,2020-2021,10824.9
SFDS,2017-2018,8840.333333333334
SFDS,2018-2019,57963.98666666667
SHI CANADA,2019-2020,70331.98597260274
SHI CANADA,2020-2021,29555.85402739726
SILVERBACK PRODUCTIONS,2017-2018,24326.530612244896
SILVERBACK PRODUCTIONS,2018-2019,49648.4693877551
SIM VIDEO INTERNATIONAL,2018-2019,14131.02
SIM VIDEO INTERNATIONAL,2019-2020,14125
SIM VIDEO INTERNATIONAL,2020-2021,60534.340000000004
SOFTCHOICE,2017-2018,962468.7224786021
SOFTCHOICE,2018-2019,713490.8623326268
SOFTCHOICE,2019-2020,721750.8351025843
SOFTCHOICE,2020-2021,614844.0700354553
SOFTSIM TECHNOLOGIES,2017-2018,52878.688524590165
SOFTSIM TECHNOLOGIES,2018-2019,47921.311475409835
SOLLERTIA,2020-2021,203229.06
SOLOTECH,2017-2018,14365.720000000001
SOLOTECH,2018-2019,24558.67
SOLOTECH,2019-2020,140340.5
SONOTECHNIQUE PJL,2018-2019,10552.82
SONOTECHNIQUE PJL,2019-2020,189604.12999999998
SONOTECHNIQUE PJL,2020-2021,2220.2598484848486
SPB PSYCHOLOGIE ORGANISATIONNELLE,2017-2018,41606.71181102362
SPB PSYCHOLOGIE ORGANISATIONNELLE,2018-2019,49520.44094488189
SPB PSYCHOLOGIE ORGANISATIONNELLE,2019-2020,12074.847244094488
STONEWORKS TECHNOLOGIES,2018-2019,29767.449069003284
STONEWORKS TECHNOLOGIES,2019-2020,29849.003723986854
STONEWORKS TECHNOLOGIES,2020-2021,104772.7290690033
STUDIO CASA RARA,2017-2018,135600
STUDIO CASA RARA,2018-2019,158198.71000000002
TEKNION,2019-2020,796155.34
TERAGO NETWORKS,2017-2018,238992
TERAGO NETWORKS,2018-2019,228145.84256064688
TERAGO NETWORKS,2019-2020,240980.3036746472
TERAGO NETWORKS,2020-2021,229977.93752941178
TRANSQUEBEC AUDIOVISUEL,2017-2018,218260
TRINIMBUS TECHNOLOGIES,2017-2018,93650.42246575344
TRINIMBUS TECHNOLOGIES,2018-2019,375261.9333996312
TRINIMBUS TECHNOLOGIES,2019-2020,27343.104134615383
WESTWORLD COMPUTERS,2019-2020,63380.42
WESTWORLD COMPUTERS,2020-2021,11336.54
