d_vendor_name,d_fiscal_year,total
THE CENTRE FOR INNOVATION STUDIES THECIS,2019-2020,86316.5679916318
THE CENTRE FOR INNOVATION STUDIES THECIS,2020-2021,74997.48853010734
THE CONFERENCE BOARD OF CANADA,2017-2018,3811.301369863014
THE CONFERENCE BOARD OF CANADA,2018-2019,41063.69863013698
THE CONFERENCE BOARD OF CANADA,2019-2020,96127.5
THE MASHA KRUPP TRANSLATION GROUP,2018-2019,7720.588235294118
THE MASHA KRUPP TRANSLATION GROUP,2019-2020,25091.911764705885
THOMAS REUTERS CANADA,2017-2018,10535.947397260274
THOMAS REUTERS CANADA,2018-2019,5289.652602739726
TURTLEHAWK SOLUTIONS,2017-2018,27978.298563611494
TURTLEHAWK SOLUTIONS,2018-2019,27978.298563611494
TURTLEHAWK SOLUTIONS,2019-2020,24236.109999999997
WATERSMART SOLUTIONS,2019-2020,152290
WORKDYNAMICS TECHNOLOGIES,2017-2018,38942.4
XEROX,2017-2018,3737.3235377875135
XEROX,2018-2019,4618.393373493976
XEROX,2019-2020,86754.4865060241
XEROX,2020-2021,4618.393373493976
