d_vendor_name,d_fiscal_year,total
NEWFOUND RECRUITING,2018-2019,84677.63232989691
NEWFOUND RECRUITING,2019-2020,227882.45171134023
NEWFOUND RECRUITING,2020-2021,238360.97710061536
NISHA TECHONOLOGIES,2019-2020,1758717.97
NITAM SOLUTIONS,2019-2020,406493.77
NITAM SOLUTIONS,2020-2021,24916.5
NORTHERN MICRO,2020-2021,812782.8783606557
NUA OFFICE,2019-2020,82648.88
ONTARIO HERITAGE TRUST,2019-2020,34645.37320143885
ONTARIO HERITAGE TRUST,2020-2021,66207.12679856115
ORANGUTECH,2018-2019,190010.00810979848
ORANGUTECH,2019-2020,432024.7388485939
ORANGUTECH,2020-2021,802689.4686404685
PANASONIC,2020-2021,74578.31
PATON ASSOCIATES MANAGEMENT,2019-2020,41642.13763033175
PATON ASSOCIATES MANAGEMENT,2020-2021,23089.922369668246
PERSONNEL ALTER EGO,2020-2021,71422.20267716536
PHASELOCK SYSTEMS,2019-2020,123731.9
PRESIDIA SECURITY CONSULTING,2019-2020,38702.5
PRESIDIA SECURITY CONSULTING,2020-2021,50680.5
PROSCI CANADA,2019-2020,123904.5
PURESPIRIT SOLUTIONS,2020-2021,299278.75
QMR,2019-2020,89324.68333630291
QMR,2020-2021,138198.7226869201
RESOLVE COLLABORATION SERVICES,2019-2020,162315.32825112107
RESOLVE COLLABORATION SERVICES,2020-2021,354774.9317488789
RICOH,2017-2018,39356.33279745109
RICOH,2018-2019,39356.33279745109
RICOH,2019-2020,50148.84571788854
RICOH,2020-2021,203413.01260599212
RJR INNOVATIONS,2019-2020,61064.095357142854
RJR INNOVATIONS,2020-2021,77158.31464285713
SI SYSTEMS,2018-2019,77543.4424742268
SI SYSTEMS,2019-2020,310107.50783505157
SI SYSTEMS,2020-2021,216432.43426091003
SIERRA SYSTEMS GROUP,2020-2021,355292.6718085106
SLOFAC,2020-2021,134303.3204
STENOTRAN SERVICES,2018-2019,17431.662807017543
STENOTRAN SERVICES,2019-2020,120062.20719298247
STONEWORKS TECHNOLOGIES,2019-2020,68222.51
SYSTEMSCOPE,2019-2020,225786.67939244662
SYSTEMSCOPE,2020-2021,97093.07060755337
TAG HR,2020-2021,66429.04175706646
TECHWIND,2020-2021,97462.5
TECSIS,2020-2021,86614.5
TEKNION,2019-2020,423644.4100443459
TEKNION,2020-2021,32902.4299556541
TEKSYSTEMS CANADA,2018-2019,324445.7347180361
TEKSYSTEMS CANADA,2019-2020,527520.210197471
TEKSYSTEMS CANADA,2020-2021,526078.8981477511
THE BRITISH C CORPS COMMISSIO,2019-2020,279328.69
THE BRITISH C CORPS COMMISSIO,2020-2021,474496.29000000004
THE CANADIAN CORPS OF,2019-2020,106453.5
THE CANADIAN CORPS OF,2020-2021,98718.61
THE CCI LEADERSHIP INSTITUTE,2019-2020,24999.980000000003
THE CCI LEADERSHIP INSTITUTE,2020-2021,58830.625
THE HALIFAX COMPUTER GROUP,2020-2021,105971.4
THE KTL GROUP,2019-2020,105655
THE KTL GROUP,2020-2021,38420
THE TRICO GROUP,2019-2020,67506.72277520812
THE TRICO GROUP,2020-2021,70199.29861239591
VERITAAQ TECHNOLOGY HOUSE,2017-2018,382601.6476475279
VERITAAQ TECHNOLOGY HOUSE,2018-2019,413606.8638899522
VERITAAQ TECHNOLOGY HOUSE,2019-2020,473145.03942743223
VERITAAQ TECHNOLOGY HOUSE,2020-2021,98310.00000000001
VIQ SOLUTIONS,2019-2020,176458.53999999998
VIQ SOLUTIONS,2020-2021,136029.66
WILLS TRANSFER,2020-2021,212440
WORLD ROMANI DIALECTS INTERPRETATIO,2017-2018,31353.957680250784
WORLD ROMANI DIALECTS INTERPRETATIO,2018-2019,31353.957680250784
WORLD ROMANI DIALECTS INTERPRETATIO,2019-2020,31439.85893416928
XEROX,2017-2018,44941.855273624715
XEROX,2018-2019,48037.49790277775
XEROX,2019-2020,81388.58773120007
XEROX,2020-2021,149870.82340504037
XL TRANSCRIBING,2019-2020,240690
XL TRANSCRIBING,2020-2021,500000.00000000006
ZERNAM ENTERPRISE,2018-2019,67923.39134020619
ZERNAM ENTERPRISE,2019-2020,182793.83257731958
ZERNAM ENTERPRISE,2020-2021,182294.39587628868
