d_vendor_name,d_fiscal_year,total
EXCEL HUMAN RESOURCES,2017-2018,19577.25
EXCEL HUMAN RESOURCES,2018-2019,24659.25
EXCEL HUMAN RESOURCES,2020-2021,227426.7534306569
FORD MOTOR COMPANY,2017-2018,32084.85
FRANCOIS MARINIER,2019-2020,15521.625
FRANCOIS MARINIER,2020-2021,37366.875
FREEMAN AUDIO VISUAL,2017-2018,50878.36
GARTNER,2017-2018,40804.82630136986
GARTNER,2018-2019,20486.373698630137
GENESIS INTEGRATION,2017-2018,28382.299166666668
GOSS GILROY,2019-2020,30069.38
GUILLAUME DESCHENES THERIAULT,2020-2021,35218.75
HUGUES THEORET,2017-2018,24855
IAN ROSS,2017-2018,10500
IAN ROSS,2018-2019,10485.636114911082
IAN ROSS,2019-2020,10514.36388508892
INFO TECH RESEARCH GROUP,2017-2018,6354.657534246575
INFO TECH RESEARCH GROUP,2018-2019,164307.0954069299
INFO TECH RESEARCH GROUP,2019-2020,18312.50521906092
INFO TECH RESEARCH GROUP,2020-2021,178277.87964798178
INGRIDE ROY,2017-2018,24144.75
INSA,2017-2018,60390.290319634696
INSA,2018-2019,15675.03393495935
INSA,2019-2020,14863.902731707318
INSA,2020-2021,12260.465315068494
INSTITUT CANADIEN DE RECHERCHE SUR LES MINORITES LINGUISTIQUES,2017-2018,24767.49
JEAN FRANCOIS LACHAPPELLE,2019-2020,35193.850000000006
JEDWEB,2017-2018,24662.14
JPOCOCK RESEARCH CONSULTANT,2017-2018,19541.5
KAMELEONS CIE SOLUTIONS DESIGN,2018-2019,2168.0367441860467
KAMELEONS CIE SOLUTIONS DESIGN,2019-2020,37785.783255813956
KMOTIONS GROUPE CONSEIL EN RH,2018-2019,9769.871030303031
KMOTIONS GROUPE CONSEIL EN RH,2019-2020,27719.168969696973
KORN FERRY,2018-2019,6162.9217391304355
KORN FERRY,2019-2020,16111.638260869568
LANDRY MICRO SOLUTIONS,2018-2019,21735
LAW OFFICE OF PEARL ELIADIS,2019-2020,8374.513825301205
LAW OFFICE OF PEARL ELIADIS,2020-2021,40403.3561746988
LEAN AGILITY,2017-2018,64165.5
LEAN AGILITY,2018-2019,24150
LEAN AGILITY,2019-2020,16379.349999999999
LES CONSULTATIONS JULAUX CONSULTANTS,2017-2018,19151.450381679388
LES CONSULTATIONS JULAUX CONSULTANTS,2018-2019,5688.5496183206105
LES SERVICES LINGUISTIQUES VERSACOM,2018-2019,11481.771545827634
LES SERVICES LINGUISTIQUES VERSACOM,2019-2020,11513.228454172367
LES SERVICES LINGUISTIQUES VERSACOM,2020-2021,0
LIONEL A LEVERT,2018-2019,24834.6
LISE CLOUTIER,2018-2019,24836.599999999995
LISE D LABELLE,2017-2018,33201.57426273458
MARY FRANCOLI PHD,2017-2018,20000
MAXSYS STAFFING CONSULTING,2017-2018,36736.235
MAXSYS STAFFING CONSULTING,2018-2019,10804.775000000001
MCCABE PROMOTIONAL ADVERTISING,2017-2018,19648.08
MCCABE PROMOTIONAL ADVERTISING,2018-2019,21937.24
MDOS CONSULTING,2017-2018,24144.75
MICHEL BASTARACHE SOCIETE PROFESSIONNELLE,2017-2018,41390.979999999996
MICHEL ROBICHAUD,2017-2018,18970.88
MICHEL ROBICHAUD,2018-2019,24057.809999999998
MICROSOFT CANADA,2017-2018,89818.59000000001
MICROSOFT CANADA,2019-2020,110404.02309737974
MICROSOFT CANADA,2020-2021,110102.3727610481
"NARRATIVE RESEARCH",2019-2020,19722
"NATTIQ ADGA GROUP CONSULTANTS INC IN JOINT VENTURE",2017-2018,95230.1778330373
"NATTIQ ADGA GROUP CONSULTANTS INC IN JOINT VENTURE",2018-2019,163957.6174955595
"NATTIQ ADGA GROUP CONSULTANTS INC IN JOINT VENTURE",2019-2020,164406.81644760212
"NATTIQ ADGA GROUP CONSULTANTS INC IN JOINT VENTURE",2020-2021,242589.81622380108
"NAVPOINT CONSULTING GROUP",2020-2021,90315.25000000001
NEWFOUND RECRUITING,2018-2019,49145.95100719425
NEWFOUND RECRUITING,2019-2020,149231.78899280576
NEWS CANADA,2017-2018,9789.08064516129
NEWS CANADA,2018-2019,27274.91935483871
NICOLAS M ROULEAU SOCIETE PROFESSIONNELLE,2019-2020,14879.072633390708
NICOLAS M ROULEAU SOCIETE PROFESSIONNELLE,2020-2021,25142.877366609297
NICOLAS SABOURIN,2020-2021,37711.17
NISHA TECHONOLOGIES,2017-2018,239137.33551912569
NISHA TECHONOLOGIES,2018-2019,47005.427814207644
NISHA TECHONOLOGIES,2019-2020,833046.8684018265
NVISION INSIGHT,2017-2018,54091.41
OPEN STORAGE SOLUTIONS,2017-2018,5859.344835164836
OPEN STORAGE SOLUTIONS,2018-2019,18655.615164835166
OPENTEXT,2017-2018,52056.0595341615
OPENTEXT,2018-2019,47361.30046583851
OPENTEXT,2020-2021,39424.93
PAR,2018-2019,15325.8
PAR,2019-2020,10504.199999999999
PARRIAGGROUP,2018-2019,24323.25
POLYCOM,2018-2019,37755.51
POSSIBLE IMPOSSIBLE ETC,2017-2018,24834.6
PRA,2017-2018,24727.5
PRA,2020-2021,15750
PRICEWATERHOUSE COOPERS,2020-2021,39091.15
PURESPIRIT SOLUTIONS,2018-2019,188409.02
PURESPIRIT SOLUTIONS,2019-2020,37396.33
QMR,2017-2018,70074.3152811736
QMR,2019-2020,165674.8295522388
QMR,2020-2021,23317.806841203816
QUORUS CONSULTING GROUP,2017-2018,2448.3183624801272
QUORUS CONSULTING GROUP,2018-2019,11032.545707472178
QUORUS CONSULTING GROUP,2019-2020,5531.385930047695
RAYMOND CHABOT GRANT THORNTON,2017-2018,142692.15847477753
RAYMOND CHABOT GRANT THORNTON,2018-2019,306728.88572080294
RAYMOND CHABOT GRANT THORNTON,2019-2020,563573.2742666794
RAYMOND CHABOT GRANT THORNTON,2020-2021,483115.3318086197
RICOH,2017-2018,31650.1421369863
RICOH,2018-2019,37366.73630222509
RICOH,2019-2020,28136.298105147864
RICOH,2020-2021,28059.422973713034
S A G E CONSULTING,2018-2019,12635.220125786163
S A G E CONSULTING,2019-2020,16113.207547169812
S A G E CONSULTING,2020-2021,16069.182389937107
SAMSON ASSOCIATES CPA CONSULTING,2017-2018,85453.76327868852
SAMSON ASSOCIATES CPA CONSULTING,2018-2019,138937.80672131147
SAMSON ASSOCIATES CPA CONSULTING,2019-2020,397203.31975767366
SAMSON ASSOCIATES CPA CONSULTING,2020-2021,533443.3077080798
SAMSON ASSOCIES CPA CONSULTATION,2017-2018,58481.200951417006
SAMSON ASSOCIES CPA CONSULTATION,2018-2019,17488.539048582996
SAMSON ASSOCIES CPA CONSULTATIONS,2017-2018,123417.95104545454
SAMSON ASSOCIES CPA CONSULTATIONS,2018-2019,92523.26376363637
SAMSON ASSOCIES CPA CONSULTATIONS,2019-2020,426202.8230794114
SAMSON ASSOCIES CPA CONSULTATIONS,2020-2021,227722.36296733652
SAMSON ASSOCIES CPA CONSULTING,2017-2018,129261.81672727272
SAMSON ASSOCIES CPA CONSULTING,2018-2019,61225.82021818181
SOCIETE PROFESSIONNELLE MICHEL BASTARACHE,2017-2018,4747.3821402805615
SOCIETE PROFESSIONNELLE MICHEL BASTARACHE,2018-2019,5718.793667334669
SOCIETE PROFESSIONNELLE MICHEL BASTARACHE,2019-2020,5734.461595190382
SOCIETE PROFESSIONNELLE MICHEL BASTARACHE,2020-2021,5718.793667334669
SOFTCHOICE,2018-2019,116065.70004708905
SOFTCHOICE,2019-2020,64631.12684261089
SOFTCHOICE,2020-2021,44939.286962692626
SRA STAFFING SOLUTIONS,2017-2018,154403.17814524708
SRA STAFFING SOLUTIONS,2018-2019,114819.32185475294
TEKNION,2018-2019,14150.2
TEKNION,2019-2020,14989.710000000003
TEKNION,2020-2021,11531.26
TEKSYSTEMS CANADA,2017-2018,281204.113963964
TEKSYSTEMS CANADA,2018-2019,385480.7298510061
TEKSYSTEMS CANADA,2019-2020,275571.62902373954
TEKSYSTEMS CANADA,2020-2021,40714.25716129032
THE TRI GROUP,2017-2018,40770.14
THEMIS MULTIFACTUM,2018-2019,36846.94
TURTLE ISLAND STAFFING,2017-2018,43360.52156343823
TURTLE ISLAND STAFFING,2018-2019,68077.39196597354
UNIVERSITE D OTTAWA,2017-2018,20695.5
VURTUR COMMUNICATIONS GROUP,2017-2018,20695.5
WORKDYNAMICS TECHNOLOGIES,2017-2018,89193.65000000001
